Unnamed: 0,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month,r,g,IV
24,2,2009-12-31,A,137609000000.0,68058279849.0,24141762526.0,92200042375.0,45408512454.0,万科A,80129161112.0,12,0.0379,27.93%,0.3366922197432217
26,2,2010-03-31,A,148396000000.0,77734839278.0,23267605891.0,101002000000.0,47393510587.0,万科A,89368642224.0,3,0.0342,4.45%,0.33904595686758904
27,2,2010-06-30,A,160513000000.0,85884688461.0,26208167313.0,112093000000.0,48419808778.0,万科A,98988772118.0,6,0.0351,4.59%,0.322653374129997
28,2,2010-09-30,A,187935000000.0,108691000000.0,29907521776.0,138599000000.0,49336733183.0,万科A,123645000000.0,9,0.0347,-8.32%,0.28783764257855254
29,2,2010-12-31,A,215638000000.0,129651000000.0,31400560601.0,161051000000.0,54586199642.0,万科A,145351000000.0,12,0.0309,-0.95%,0.2877622299943597
31,2,2011-03-31,A,235359000000.0,151807000000.0,27422148920.0,179230000000.0,56129244459.0,万科A,165519000000.0,3,0.0295,6.98%,0.275503573231377
32,2,2011-06-30,A,260960000000.0,172594000000.0,30558382250.0,203153000000.0,57807482627.0,万科A,187874000000.0,6,0.0291,-1.91%,0.25721630648495475
33,2,2011-09-30,A,283206000000.0,194654000000.0,28997895441.0,223652000000.0,59553752172.0,万科A,209153000000.0,9,0.028,0.58%,0.2465124220154163
34,2,2011-12-31,A,296208000000.0,200724000000.0,27651741168.0,228376000000.0,67832538547.0,万科A,214550000000.0,12,0.0274,17.25%,0.2699343824540709
36,2,2012-03-31,A,310437000000.0,203348000000.0,37967667454.0,241316000000.0,69120706637.0,万科A,222332000000.0,3,0.0348,-1.91%,0.24452064820742306
37,2,2012-06-30,A,330401000000.0,217101000000.0,43466089658.0,260567000000.0,69833973675.0,万科A,238834000000.0,6,0.0336,-0.47%,0.23429628029417188
38,2,2012-09-30,A,347775000000.0,233555000000.0,42578737915.0,276134000000.0,71640862330.0,万科A,254844000000.0,9,0.0363,-3.63%,0.22118926255885116
39,2,2012-12-31,A,378802000000.0,259834000000.0,36829853376.0,296663000000.0,82138194988.0,万科A,278248000000.0,12,0.0392,1.06%,0.22664140306510294
41,2,2013-03-31,A,417894000000.0,299237000000.0,34030698997.0,333268000000.0,84626427238.0,万科A,316252000000.0,3,0.0365,6.14%,0.21649595365146618
42,2,2013-06-30,A,432242000000.0,314101000000.0,30075176941.0,344176000000.0,88065482216.0,万科A,329139000000.0,6,0.0394,1.49%,0.210638444546938
43,2,2013-09-30,A,461138000000.0,330163000000.0,36608562473.0,366771000000.0,94366538724.0,万科A,348467000000.0,9,0.0353,1.08%,0.22203427667904496
44,2,2013-12-31,A,479205000000.0,328922000000.0,44844067882.0,373766000000.0,105439000000.0,万科A,351344000000.0,12,0.0353,-7.15%,0.24025030681138562
46,2,2014-03-31,A,495119000000.0,341352000000.0,52016105945.0,393368000000.0,101751000000.0,万科A,367360000000.0,3,0.0342,18.50%,0.2258134917593545
47,2,2014-06-30,A,501774000000.0,336161000000.0,59893498792.0,396054000000.0,105720000000.0,万科A,366108000000.0,6,0.0313,0.48%,0.23911377439945689
48,2,2014-09-30,A,519974000000.0,356127000000.0,57665027850.0,413792000000.0,106183000000.0,万科A,384959000000.0,9,0.0318,17.94%,0.2301211075109035
49,2,2014-12-31,A,508409000000.0,345654000000.0,46861107524.0,392515000000.0,115894000000.0,万科A,369085000000.0,12,0.0328,11.93%,0.25556401627011927
51,2,2015-03-31,A,526040000000.0,369308000000.0,40529113366.0,409837000000.0,116204000000.0,万科A,389572000000.0,3,0.0251,-2.37%,0.26599246723521486
52,2,2015-06-30,A,536938000000.0,378968000000.0,40170199400.0,419138000000.0,117800000000.0,万科A,399053000000.0,6,0.0305,-5.23%,0.25133215601385095
53,2,2015-09-30,A,570793000000.0,402084000000.0,47583727471.0,449668000000.0,121125000000.0,万科A,425876000000.0,9,0.0297,-0.35%,0.24477341283194742
54,2,2015-12-31,A,611296000000.0,420062000000.0,54924123488.0,474986000000.0,136310000000.0,万科A,447524000000.0,12,0.0319,8.55%,0.25209200179410596
56,2,2016-03-31,A,658837000000.0,456899000000.0,63189952381.0,520089000000.0,138749000000.0,万科A,488494000000.0,3,0.0318,-14.67%,0.23780578810726563
57,2,2016-06-30,A,712307000000.0,509867000000.0,64265175643.0,574133000000.0,138174000000.0,万科A,542000000000.0,6,0.0323,1.59%,0.21633628687380527
58,2,2016-09-30,A,755930000000.0,553158000000.0,59237782015.0,612396000000.0,143534000000.0,万科A,582777000000.0,9,0.0285,1.94%,0.22023652036825822
59,2,2016-12-31,A,830674000000.0,579998000000.0,88999157180.0,668998000000.0,161677000000.0,万科A,624498000000.0,12,0.0298,0.19%,0.22313817089089696
61,2,2017-03-31,A,886754000000.0,627634000000.0,97133495016.0,724767000000.0,161986000000.0,万科A,676201000000.0,3,0.0436,0.26%,0.17378204941168215
62,2,2017-06-30,A,929266000000.0,676124000000.0,91984578373.0,768108000000.0,161158000000.0,万科A,722116000000.0,6,0.0465,12.75%,0.15429604914752484
63,2,2017-09-30,A,1018380000000.0,743441000000.0,107216000000.0,850657000000.0,167725000000.0,万科A,797049000000.0,9,0.0355,-7.90%,0.17115699221205316
64,2,2017-12-31,A,1165350000000.0,847355000000.0,131318000000.0,978673000000.0,186674000000.0,万科A,913014000000.0,12,0.0317,-4.48%,0.17430965549889313
66,2,2018-03-31,A,1224260000000.0,880954000000.0,147974000000.0,1028930000000.0,195337000000.0,万科A,954941000000.0,3,0.0305,4.36%,0.17639329252098315
67,2,2018-06-30,A,1345150000000.0,969762000000.0,169606000000.0,1139370000000.0,205784000000.0,万科A,1054560000000.0,6,0.0313,1.93%,0.16570945849479554
68,2,2018-09-30,A,1432220000000.0,1044140000000.0,172194000000.0,1216330000000.0,215892000000.0,万科A,1130230000000.0,9,0.0339,-25.85%,0.15647217562950239
69,2,2018-12-31,A,1528580000000.0,1121910000000.0,171045000000.0,1292960000000.0,235621000000.0,万科A,1207440000000.0,12,0.0297,9.17%,0.1709884696221542
71,2,2019-03-31,A,1551170000000.0,1115030000000.0,199948000000.0,1314980000000.0,236189000000.0,万科A,1215000000000.0,3,0.0364,15.14%,0.1523928852256924
72,2,2019-06-30,A,1577060000000.0,1161740000000.0,182847000000.0,1344590000000.0,232468000000.0,万科A,1253170000000.0,6,0.0308,4.41%,0.15932647746908485
73,2,2019-09-30,A,1638760000000.0,1202300000000.0,191612000000.0,1393910000000.0,244852000000.0,万科A,1298110000000.0,9,0.0436,-1.67%,0.1301838637673741
74,2,2019-12-31,A,1729930000000.0,1272610000000.0,186740000000.0,1459350000000.0,270579000000.0,万科A,1365980000000.0,12,0.0452,-1.47%,0.13535760841521519
76,2,2020-03-31,A,1739790000000.0,1265380000000.0,200299000000.0,1465680000000.0,274111000000.0,万科A,1365530000000.0,3,0.0408,2.34%,0.14840493047048137
77,2,2020-06-30,A,1806190000000.0,1315940000000.0,198991000000.0,1514930000000.0,291256000000.0,万科A,1415430000000.0,6,0.043,10.34%,0.1475928940851232
78,2,2020-09-30,A,1814470000000.0,1317540000000.0,194284000000.0,1511820000000.0,302642000000.0,万科A,1414680000000.0,9,0.0459,2.55%,0.14720859156861968
79,2,2020-12-31,A,1869180000000.0,1317490000000.0,201840000000.0,1519330000000.0,349844000000.0,万科A,1418410000000.0,12,0.0298,4.44%,0.21372586294699283
81,2,2021-03-31,A,1907860000000.0,1346920000000.0,205508000000.0,1552430000000.0,355432000000.0,万科A,1449670000000.0,3,0.0318,-8.29%,0.20792998829233636
82,2,2021-06-30,A,1955050000000.0,1380850000000.0,210473000000.0,1591330000000.0,363721000000.0,万科A,1486090000000.0,6,0.031,1.89%,0.2095079113197633
83,2,2021-09-30,A,1967400000000.0,1377670000000.0,214807000000.0,1592470000000.0,374930000000.0,万科A,1485070000000.0,9,0.0355,2.35%,0.2042884791879451
84,2,2021-12-31,A,1938640000000.0,1311450000000.0,234419000000.0,1545870000000.0,392773000000.0,万科A,1428660000000.0,12,0.037,0.87%,0.2153670181941226
86,6,2005-03-31,A,3954592116.0,2454882314.0,361163197.0,2816045511.0,1138546605.0,深振业A,2635463912.0,3,0.0334,-4.51%,0.3152740335609864
87,6,2005-06-30,A,4763244815.0,3317179082.0,361598675.5,3678777757.0,1084467058.0,深振业A,3497978420.0,6,0.036,9.33%,0.24724098351485926
88,6,2005-09-30,A,2621265865.0,1218869769.0,357339290.0,1576209059.0,1045056806.0,深振业A,1397539414.0,9,0.0331,16.87%,0.38769750726998353
89,6,2005-12-31,A,2553071988.0,1066037358.0,357502925.5,1423540283.0,1129531705.0,深振业A,1244788821.0,12,0.0367,-13.45%,0.3932293576750907
91,6,2006-03-31,A,2606651791.0,1058476751.0,357914585.3,1416391336.0,1190260455.0,G 深振业,1237434043.0,3,0.0388,11.83%,0.39173501914312325
92,6,2006-06-30,A,2396878299.0,754197754.1,358325245.0,1112522999.0,1284355300.0,G 深振业,933360376.5,6,0.0389,-10.39%,0.4098197167556437
93,6,2006-09-30,A,2915144406.0,1117609189.0,508790323.8,1626399513.0,1288744893.0,G 深振业,1372004351.0,9,0.0412,-1.65%,0.3811439064017582
94,6,2006-12-31,A,2918925351.0,1384012483.0,208499502.1,1592511985.0,1326413366.0,深振业A,1488262234.0,12,0.0381,5.05%,0.39296117458503743
96,6,2007-03-31,A,3264880820.0,1119491711.0,758692109.1,1878183820.0,1386697000.0,深振业A,1498837765.0,3,0.0355,6.50%,0.3908763769953015
97,6,2007-06-30,A,3239841547.0,758597562.5,1114617171.0,1873214733.0,1366626814.0,深振业A,1315906148.0,6,0.034,-5.48%,0.3939389805868159
98,6,2007-09-30,A,4848314045.0,1664191234.0,1765123333.0,3429314567.0,1418999477.0,深振业A,2546752900.0,9,0.0333,-2.81%,0.31976597348203734
99,6,2007-12-31,A,5568431162.0,1691206825.0,2080951110.0,3772157935.0,1796273227.0,深振业A,2731682380.0,12,0.0357,-21.04%,0.3374390060044448
101,6,2008-03-31,A,5716664609.0,1374800049.0,2313915778.0,3688715827.0,2027948782.0,深振业A,2531757938.0,3,0.035,2.35%,0.36060715677213817
102,6,2008-06-30,A,6144874343.0,1598861108.0,2733508955.0,4332370063.0,1812504280.0,深振业A,2965615585.0,6,0.036,6.08%,0.3146165517509939
103,6,2008-09-30,A,6120101935.0,2536044236.0,1806026525.0,4342070760.0,1778031175.0,深振业A,3439057498.0,9,0.036,6.34%,0.3107562249558395
104,6,2008-12-31,A,5921442330.0,2970886776.0,1272863762.0,4243750538.0,1677691792.0,深振业A,3607318657.0,12,0.0422,-2.26%,0.2877198793145832
106,6,2009-03-31,A,6776875613.0,3055959367.0,1878567694.0,4934527061.0,1842348552.0,深振业A,3995243214.0,3,0.0433,2.70%,0.2741440525524894
107,6,2009-06-30,A,7340427809.0,3377804024.0,2045726875.0,5423530899.0,1916896910.0,深振业A,4400667461.0,6,0.0455,-1.04%,0.25779391616971237
108,6,2009-09-30,A,7599040123.0,1992724294.0,3645542239.0,5638266533.0,1960773590.0,深振业A,3815495414.0,9,0.043,10.49%,0.2614527798254285
109,6,2009-12-31,A,7272027535.0,1414895418.0,3665174354.0,5080069772.0,2191957763.0,深振业A,3247482595.0,12,0.0379,27.93%,0.3149795001538842
111,6,2010-03-31,A,7701140350.0,1695456786.0,3781268569.0,5476725355.0,2224414994.0,深振业A,3586091071.0,3,0.0342,4.45%,0.31401659299817536
112,6,2010-06-30,A,7533025573.0,1573389870.0,3861453469.0,5434843339.0,2098182234.0,深振业A,3504116605.0,6,0.0351,4.59%,0.30224994251315707
113,6,2010-09-30,A,8054596670.0,3552542889.0,2325914068.0,5878456957.0,2176139713.0,深振业A,4715499923.0,9,0.0347,-8.32%,0.29533219809747147
114,6,2010-12-31,A,8568302263.0,3748879411.0,2261104332.0,6009983743.0,2558318520.0,深振业A,4879431577.0,12,0.0309,-0.95%,0.33114147865119303
116,6,2011-03-31,A,8073813736.0,3911485159.0,1560512589.0,5471997747.0,2601815989.0,深振业A,4691741453.0,3,0.0295,6.98%,0.3537684071780053
117,6,2011-06-30,A,7896137543.0,4014206054.0,1236762451.0,5250968506.0,2645169038.0,深振业A,4632587280.0,6,0.0291,-1.91%,0.3639616441074877
118,6,2011-09-30,A,7682876213.0,4390713682.0,512072293.1,4902785975.0,2780090238.0,深振业A,4646749829.0,9,0.028,0.58%,0.3836893430810133
119,6,2011-12-31,A,8321974063.0,5044612359.0,388432013.3,5433044372.0,2888929691.0,深振业A,5238828366.0,12,0.0274,17.25%,0.37650113181883604
121,6,2012-03-31,A,8324651886.0,4743774150.0,573695427.2,5317469578.0,3007182309.0,深振业A,5030621864.0,3,0.0348,-1.91%,0.36489006068196644
122,6,2012-06-30,A,8372144639.0,4293250460.0,866515348.1,5159765808.0,3212378830.0,深振业A,4726508134.0,6,0.0336,-0.47%,0.37972963344437877
123,6,2012-09-30,A,8990322010.0,4491231308.0,1272347782.0,5763579090.0,3226742920.0,深振业A,5127405199.0,9,0.0363,-3.63%,0.35945691707506056
124,6,2012-12-31,A,9343430260.0,4524701408.0,1269767021.0,5794468428.0,3548961831.0,深振业A,5159584918.0,12,0.0392,1.06%,0.362468488538863
126,6,2013-03-31,A,9918719390.0,4646265800.0,1633401956.0,6279667756.0,3639051634.0,深振业A,5462966778.0,3,0.0365,6.14%,0.3633189507620068
127,6,2013-06-30,A,10413353215.0,4250944056.0,2397767476.0,6648711532.0,3764641682.0,深振业A,5449827794.0,6,0.0394,1.49%,0.35236376660012647
128,6,2013-09-30,A,10826192946.0,4273541662.0,2698879277.0,6972420940.0,3853772006.0,深振业A,5622981301.0,9,0.0353,1.08%,0.36050321729352097
129,6,2013-12-31,A,9968160025.0,3079324258.0,2701926959.0,5781251217.0,4186908808.0,深振业A,4430287738.0,12,0.0353,-7.15%,0.3898099439616671
131,6,2014-03-31,A,10128976089.0,3333205093.0,2614633179.0,5947838272.0,4181137818.0,深振业A,4640521683.0,3,0.0342,18.50%,0.39020258520895845
132,6,2014-06-30,A,11009599980.0,4026491676.0,3008024143.0,7034515819.0,3975084161.0,深振业A,5530503747.0,6,0.0313,0.48%,0.3743298590984096
133,6,2014-09-30,A,11557341503.0,4933491718.0,2614870113.0,7548361831.0,4008979672.0,深振业A,6240926775.0,9,0.0318,17.94%,0.36452862741641623
134,6,2014-12-31,A,11753217519.0,5404446337.0,2134305366.0,7538751703.0,4214465816.0,深振业A,6471599020.0,12,0.0328,11.93%,0.3688442346863069
136,6,2015-03-31,A,12169108201.0,4977048751.0,2766548760.0,7743597511.0,4425510690.0,深振业A,6360323131.0,3,0.0251,-2.37%,0.39246613982517997
137,6,2015-06-30,A,11770598640.0,4559669372.0,2886248706.0,7445918078.0,4324680562.0,深振业A,6002793725.0,6,0.0305,-5.23%,0.37999937475446055
138,6,2015-09-30,A,12386933104.0,4213750387.0,3830326253.0,8044076639.0,4342856465.0,深振业A,6128913513.0,9,0.0297,-0.35%,0.37249819444483667
139,6,2015-12-31,A,12703504209.0,4258388071.0,3949990985.0,8208379056.0,4495125153.0,深振业A,6233383564.0,12,0.0319,8.55%,0.3685226811219066
141,6,2016-03-31,A,12781117104.0,3771670027.0,4465349005.0,8237019032.0,4544098071.0,深振业A,6004344530.0,3,0.0318,-14.67%,0.3697903180685062
142,6,2016-06-30,A,13123005009.0,4387795516.0,4297355896.0,8685151412.0,4437853598.0,深振业A,6536473464.0,6,0.0323,1.59%,0.3575449029735176
143,6,2016-09-30,A,13957643134.0,5232204106.0,4273087257.0,9505291363.0,4452351770.0,深振业A,7368747735.0,9,0.0285,1.94%,0.3539348572737311
144,6,2016-12-31,A,13170385530.0,4554622279.0,3485887625.0,8040509904.0,5129875626.0,深振业A,6297566092.0,12,0.0298,0.19%,0.3927310812480728
146,6,2017-03-31,A,13265496850.0,5750077169.0,2272948714.0,8023025883.0,5242470967.0,深振业A,6886551526.0,3,0.0436,0.26%,0.35731818299123114
147,6,2017-06-30,A,13012148157.0,6224311781.0,1637655092.0,7861966873.0,5150181284.0,深振业A,7043139327.0,6,0.0465,12.75%,0.34950577628918084
148,6,2017-09-30,A,13222691675.0,6733394560.0,1248814002.0,7982208562.0,5240483112.0,深振业A,7357801561.0,9,0.0355,-7.90%,0.38015429202035866
149,6,2017-12-31,A,13139931309.0,6355662346.0,1076909940.0,7432572286.0,5707359023.0,深振业A,6894117316.0,12,0.0317,-4.48%,0.4041326332391776
151,6,2018-03-31,A,11132749198.0,3921205955.0,1217715223.0,5138921178.0,5993828019.0,深振业A,4530063567.0,3,0.0305,4.36%,0.42948874069328835
152,6,2018-06-30,A,12094223130.0,4481685120.0,1700076394.0,6181761513.0,5912461616.0,深振业A,5331723317.0,6,0.0313,1.93%,0.41859953373421166
153,6,2018-09-30,A,12463343600.0,4815260783.0,1639732897.0,6454993680.0,6008349921.0,深振业A,5635127231.0,9,0.0339,-25.85%,0.4106363620925579
154,6,2018-12-31,A,13536728185.0,5436698858.0,1713891971.0,7150590829.0,6386137356.0,深振业A,6293644843.0,12,0.0297,9.17%,0.41902820550146086
156,6,2019-03-31,A,14019712732.0,5578220206.0,1811668758.0,7389888964.0,6629823768.0,深振业A,6484054585.0,3,0.0364,15.14%,0.4021544067549555
157,6,2019-06-30,A,15566251892.0,6147854726.0,2955048396.0,9102903122.0,6463348770.0,深振业A,7625378924.0,6,0.0308,4.41%,0.40027616083382855
158,6,2019-09-30,A,15489084775.0,5661445822.0,3118671952.0,8780117775.0,6708967000.0,深振业A,7220781799.0,9,0.0436,-1.67%,0.37182289131842544
159,6,2019-12-31,A,15745320851.0,5153923691.0,3421168614.0,8575092305.0,7170228546.0,深振业A,6864507998.0,12,0.0452,-1.47%,0.37458136235716366
161,6,2020-03-31,A,15330094970.0,3871821001.0,4147436083.0,8019257084.0,7310837886.0,深振业A,5945539043.0,3,0.0408,2.34%,0.39191303011601036
162,6,2020-06-30,A,14968401509.0,4234716768.0,3567672203.0,7802388971.0,7166012538.0,深振业A,6018552869.0,6,0.043,10.34%,0.3867914607875718
163,6,2020-09-30,A,15402180509.0,4495241572.0,3444984761.0,7940226332.0,7461954177.0,深振业A,6217733952.0,9,0.0459,2.55%,0.38096510495894687
164,6,2020-12-31,A,15434760023.0,4154819374.0,3441942481.0,7596761856.0,7837998168.0,深振业A,5875790615.0,12,0.0298,4.44%,0.4259015826804945
166,6,2021-03-31,A,16052084462.0,4111344724.0,3818510344.0,7929855068.0,8122229394.0,深振业A,6020599896.0,3,0.0318,-8.29%,0.42072396301848736
167,6,2021-06-30,A,18761613820.0,6185599129.0,4592874727.0,10778473856.0,7983139964.0,深振业A,8482036492.0,6,0.031,1.89%,0.4032327108575817
168,6,2021-09-30,A,19816739639.0,6771517509.0,4875141418.0,11646658927.0,8170080712.0,深振业A,9209088218.0,9,0.0355,2.35%,0.386483199157115
169,6,2021-12-31,A,23601034833.0,9242449329.0,6174209647.0,15416658976.0,8184375856.0,深振业A,12329554153.0,12,0.037,0.87%,0.3502970427080822
171,8,2005-03-31,A,89513889.82,15424837.66,0.0,15424837.66,74089052.16,亿安科技,15424837.66,3,0.0334,-4.51%,0.4713427359356515
172,8,2005-06-30,A,87179543.96,13307013.56,0.0,13307013.56,73872530.4,宝利来,13307013.56,6,0.036,9.33%,0.4726482163714403
173,8,2005-09-30,A,95262245.04,24554744.46,0.0,24554744.46,70707500.58,宝利来,24554744.46,9,0.0331,16.87%,0.45751682301124763
174,8,2005-12-31,A,90639371.84,22602478.7,0.0,22602478.7,68036893.14,G 宝利来,22602478.7,12,0.0367,-13.45%,0.4544504111439862
176,8,2006-03-31,A,78158775.74,5322554.78,0.0,5322554.78,72836220.96,G 宝利来,5322554.78,3,0.0388,11.83%,0.48685261150654924
177,8,2006-06-30,A,77601566.41,5124462.61,0.0,5124462.61,72477103.8,G 宝利来,5124462.61,6,0.0389,-10.39%,0.48721833587178587
178,8,2006-09-30,A,77837991.39,5530008.6,0.0,5530008.6,72307982.79,G 宝利来,5530008.6,9,0.0412,-1.65%,0.48543982114518336
179,8,2006-12-31,A,76838064.18,5308278.75,0.0,5308278.75,71529785.43,宝利来,5308278.75,12,0.0381,5.05%,0.48690198148687536
181,8,2007-03-31,A,82085084.72,5769635.8,0.0,5769635.8,76315448.92,*ST 宝投,5769635.8,3,0.0355,6.50%,0.48757899461743204
182,8,2007-06-30,A,82305894.2,5899225.61,0.0,5899225.61,76406668.59,*ST 宝投,5899225.61,6,0.034,-5.48%,0.48786699028696656
183,8,2007-09-30,A,83389593.62,5897785.96,0.0,5897785.96,77491807.66,*ST 宝投,5897785.96,9,0.0333,-2.81%,0.4882730549255472
184,8,2007-12-31,A,79087425.07,5875402.74,0.0,5875402.74,73212022.33,*ST 宝投,5875402.74,12,0.0357,-21.04%,0.486798240154684
186,8,2008-03-31,A,78346799.39,4877105.89,0.0,4877105.89,73469693.5,*ST 宝投,4877105.89,3,0.035,2.35%,0.4891537322477264
187,8,2008-06-30,A,78408458.09,4953499.49,0.0,4953499.49,73454958.6,ST 宝利来,4953499.49,6,0.036,6.08%,0.48867941539471005
188,8,2008-09-30,A,78693004.41,5164242.56,0.0,5164242.56,73528761.85,ST 宝利来,5164242.56,9,0.036,6.34%,0.48824046492817974
189,8,2008-12-31,A,78914423.11,4954363.64,0.0,4954363.64,73960059.47,ST 宝利来,4954363.64,12,0.0422,-2.26%,0.4868227416804922
191,8,2009-03-31,A,78842163.22,5009719.44,0.0,5009719.44,73832443.78,ST 宝利来,5009719.44,3,0.0433,2.70%,0.48631753722388993
192,8,2009-06-30,A,78650885.8,5017635.26,0.0,5017635.26,73633250.54,ST 宝利来,5017635.26,6,0.0455,-1.04%,0.4855685767874425
193,8,2009-09-30,A,79325136.11,5451544.77,0.0,5451544.77,73873591.34,ST 宝利来,5451544.77,9,0.043,10.49%,0.48530346425440474
194,8,2009-12-31,A,79407977.39,6081753.59,0.0,6081753.59,73326223.8,ST 宝利来,6081753.59,12,0.0379,27.93%,0.48555498308572265
196,8,2010-03-31,A,79836399.73,6570562.35,0.0,6570562.35,73265837.38,ST 宝利来,6570562.35,3,0.0342,4.45%,0.4859866354151583
197,8,2010-06-30,A,77356790.13,4014943.94,0.0,4014943.94,73341846.19,ST 宝利来,4014943.94,6,0.0351,4.59%,0.4909311108786669
198,8,2010-09-30,A,77547704.69,4135033.82,0.0,4135033.82,73412670.87,ST 宝利来,4135033.82,9,0.0347,-8.32%,0.49078856680545524
199,8,2010-12-31,A,77932220.92,3531835.51,0.0,3531835.51,74400385.41,ST 宝利来,3531835.51,12,0.0309,-0.95%,0.49302513964460903
201,8,2011-03-31,A,76914317.39,2973041.41,0.0,2973041.41,73941275.98,ST 宝利来,2973041.41,3,0.0295,6.98%,0.49431951637929306
202,8,2011-06-30,A,77392892.89,3520271.09,0.0,3520271.09,73872621.8,ST 宝利来,3520271.09,6,0.0291,-1.91%,0.4934058437545126
203,8,2011-09-30,A,77170328.25,3395488.11,0.0,3395488.11,73774840.14,ST 宝利来,3395488.11,9,0.028,0.58%,0.49386152123026505
204,8,2011-12-31,A,77236597.09,3375663.5,0.0,3375663.5,73860933.59,ST 宝利来,3375663.5,12,0.0274,17.25%,0.49403280851739684
206,8,2012-03-31,A,77075617.93,3243468.39,0.0,3243468.39,73832149.54,ST 宝利来,3243468.39,3,0.0348,-1.91%,0.49270955410135553
207,8,2012-06-30,A,77259948.62,3345963.24,0.0,3345963.24,73913985.38,ST 宝利来,3345963.24,6,0.0336,-0.47%,0.49275475172644256
208,8,2012-09-30,A,77254835.62,3307743.08,0.0,3307743.08,73947092.54,ST 宝利来,3307743.08,9,0.0363,-3.63%,0.49226405087093816
209,8,2012-12-31,A,613829627.3,73003221.58,0.0,73003221.58,540826405.7,ST 宝利来,73003221.58,12,0.0392,1.06%,0.4768034200764433
211,8,2013-03-31,A,605777796.7,61002002.41,0.0,61002002.41,544775794.2,ST 宝利来,61002002.41,3,0.0365,6.14%,0.4817057875883819
212,8,2013-06-30,A,610208441.2,58836824.61,0.0,58836824.61,551371616.6,宝利来,58836824.61,6,0.0394,1.49%,0.48109833381609857
213,8,2013-09-30,A,619930259.9,62078991.22,0.0,62078991.22,557851268.7,宝利来,62078991.22,9,0.0353,1.08%,0.48240328524246046
214,8,2013-12-31,A,626625950.7,63041591.05,0.0,63041591.05,563584359.6,宝利来,63041591.05,12,0.0353,-7.15%,0.48232136933951075
216,8,2014-03-31,A,627329265.3,58942836.64,0.0,58942836.64,568386428.7,宝利来,58942836.64,3,0.0342,18.50%,0.48400161020040144
